date,Low,2,3,4,5,6,7,8,9,High,RF
193011,0.0307,-0.0133,-0.0222,-0.0169,-0.0447,-0.0082,-0.0318,-0.0322,-0.0434,-0.0458,0.13
193012,-0.1986,-0.1531,-0.1633,-0.1232,-0.1184,-0.0911,-0.1202,-0.1035,-0.1544,-0.1522,0.14
193101,0.4396,0.2464,0.1704,0.1137,0.1278,0.1076,0.0808,0.0516,0.0529,0.0386,0.15
193102,0.1662,0.166,0.12,0.1414,0.1198,0.1335,0.163,0.1665,0.2062,0.1934,0.04
193103,-0.0126,-0.0536,-0.0527,-0.0421,-0.0523,-0.0445,-0.0653,-0.1045,-0.0931,-0.1134,0.13
193104,-0.1764,-0.1763,-0.1739,-0.1826,-0.1616,-0.1192,-0.1403,-0.1061,-0.1151,-0.1893,0.08
193105,-0.1269,-0.1748,-0.157,-0.1676,-0.1368,-0.1489,-0.126,-0.1386,-0.109,-0.1164,0.09
193106,0.4023,0.3093,0.2411,0.1664,0.1729,0.1445,0.1265,0.134,0.07,0.0603,0.08
193107,0.0099,-0.0269,-0.0452,-0.0632,-0.0756,-0.0866,-0.0711,-0.1031,-0.1085,-0.1149,0.06
193108,-0.0104,-0.0329,-0.008,-0.0125,-0.0061,-0.0224,-0.0079,-0.0135,-0.0137,-0.06,0.03
193109,-0.2709,-0.3162,-0.3412,-0.295,-0.3169,-0.26,-0.3037,-0.3365,-0.3358,-0.3402,0.03
193110,0.2632,0.1875,0.2014,0.1594,0.1326,0.0877,0.0676,0.0299,-0.0091,-0.0743,0.1
193111,-0.0343,-0.0981,-0.0885,-0.0662,-0.082,-0.0763,-0.1106,-0.1018,-0.1062,-0.1285,0.17
193112,-0.21,-0.1988,-0.2134,-0.1856,-0.1762,-0.1664,-0.1158,-0.2123,-0.1598,-0.2215,0.12
193201,0.4215,0.1285,0.153,0.1109,0.0369,0.0521,0.0366,-0.0061,0.0004,-0.0936,0.23
193202,0.0683,0.0633,0.0377,0.0264,0.0626,0.0436,0.0418,-0.0122,-0.0197,-0.0921,0.23
193203,-0.0715,-0.1336,-0.1706,-0.0762,-0.105,-0.1307,-0.1114,-0.1297,-0.1426,-0.1505,0.16
193204,-0.1303,-0.1883,-0.2123,-0.2164,-0.1849,-0.1795,-0.1826,-0.1627,-0.1438,-0.2094,0.11
193205,-0.1507,-0.1999,-0.2407,-0.2202,-0.2441,-0.1993,-0.2244,-0.2072,-0.1516,-0.2318,0.06
193206,0.2683,0.1129,0.0926,0.0568,-0.0082,-0.0298,0.0211,-0.0073,-0.0377,-0.0912,0.02
193207,0.6614,0.5306,0.4083,0.3508,0.3856,0.3571,0.3891,0.4888,0.4341,0.383,0.03
193208,1.0048,0.5608,0.5856,0.4804,0.6055,0.5858,0.6245,0.6132,0.8561,0.7409,0.03
